"","Post_Ques","Post_Ans","Average_Severity"
"90","if you could go on a road trip with any person  dead or alive  who would it be and where would you go","justin bieberduh ampamp russia ",0
"91","if you could go on vacation for the next month with an unlimited budget  where would you go","i would so travel thee world  visit my overseas besties then shop everywhere",0
"92","if you could have an endless supply of any food  what would you get","strawberrybanana smoothies from jack in the box d yah dig",0
"93","if you could have been the author of any book  what would it have been","all thee twilight books chuz she got some good mula baby",0
"94","if you could make one person fall in love with you who would it be","my orthodontist docotr hahahaha jkjk or am i lmao",0
"95","if you could master one skill what would it be","to never sin bhut will never happen see im already sinning  never say never",0
"96","if you could only listen to one song for the next month  which would it be","upjustin bieber",0
"97","if you could only read one magazine for the rest of your life  which would it be","mmmag i love it",0
"98","if you could rid the world of one thing  what would it be","hoeishness lol um prob stupid bitches and sin i just sinnedopppzz",0
"99","if you could wake up as anyone tomorrow  who would it be","myself",0
"100","if you had to cook dinner for someone tonight  what would you make","umm we would go to jackinthebox haha",0
"101","if you had to give up one favorite food  what would the most difficult","chocolate",0
"102","if you had to perform at the circus  what trick would you do","read between these three fingas haha",1
"103","if you had your own talk show  who would your first three guests be","justin bieber demi lovato and barack obama babayd",0
"104","if you won a   shopping spree for any store  which store would you pick","apple store need a mac pro",0
"105","if you won a million dollars what would you do with it","great question tithe help people shop",0
"106","if your house was on fire and you could only grab three things  what would they be","laptop dogs family shoes bed clothes coffee maker oven washerampdryer refridgerator tableampchairs pics camera bath tub hahahahahahhaha",0
"107","ilove your nose ring","awhh i love ur earrings",0
"108","ilovee youuu bestfranhdd haa guesss whooo","ilovee maryyy rosseeee hickkksss lol",1
"109","ily","ily boo",0
"110","im good juz got bak from the srip in vegas it was awesome i luved it hav u evah been to vegas","awhh yuh so lucky ghurri bet yuh had a blast amp nahh ive never been bhut i would soo want to god",0
"111","is truace single","yesssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss theee lasttt timeee ask him httpwwwformspringmetruace",0
"112","justin bieber is my driving teacher oohh yessbahah we gonna be doing sumthing else instead of him teaching me how to drive lmao","hahahaha teachin him how to ur his stickshift mwhahahahahaha i llalala love you best frann",1
"113","lol oo noguurrrl u must be crazybc i love u muchoo","uhhh lmao u got me lmao jkjk we can go on  like eva lezzzdoooittt i love you more than yo own momma ahha",0
"114","love you baby ","love you more babe",0
"115","love youu sexy thang","mwahaha thank yuh meh sexy bitch who is this haha",0
"116","mammaasss d how are you haha go to skype d","yoooooooooooooo its late haha i have church tmrw bhut soon kay srry",0
"117","miley amp bieber","mileys a hoochie bieber all thee way ghurlor boy",0
"118","nope im not bianca either heres a cluei come from new zealand lol","chrisssy hahahahah chantelle  alesha kailee tori lmfao iddkkkkk",0
"119","nopeee my name starts with b o","omfg nooo wayyyy ughhh broookkkeeeee omfg im soo srry lmao lots of pplz r frmh zew zealand lmao i fukkinnn luvv yuhhhh hahaha",0
"120","oh visit me if you travel the world kthxbye xx","hahah helllz yess i will mamas love u",0
"121","omg justin bieber  haha","omg ahhhh where he go damn it he just fell off my window sil haha jk",0
"122","rate yurself","i love justin bieber hes a  on a  scale ha",0
"123","shut up ur pretttyll","shut up your prettier ",0
"124","sneakers or sandals","sandals suree d i wear them in thee winter  no lie haha",0
"125","sooooooo srry this is late im juzz doin mothur freakin boring zzzzzz zzzz snore snore lmbo","hhahahahaah ohh noo problem mamas ahah me im soo exhaustedd yawn ywan lmao",0
"126","the girl on your background bottom right hand corner looks like anna maria perez de tagle"," aww yeahh she is my best friend  raphaela  haha she is german so i guess thts why lmao ",0
"127","tht woul b so cool if u were here so i can me u","ikrr that wud be awesome i wish d",0
"128","wat state do u live in","texasampyuh hun xox",0
"129","well dats so tight ur friends wit truace  how does it feel  kno him since ur his friend u wud kno does he hav a gf","ohhkayy first offf i was playin  i mean he is a really nice person dnt kno him like all that bhut u should ask him",0
"130","well u say any language so coba tebak ini bahasa apa kamu ngerti ngga aku ngomong apa ","huh that doesnt make sense  guns something lmao come again lol",0
"131","what are you most excited about right now","ummm summer bein almost here who isnt haha",0
"132","what did you dream about last night","shhdnt tell any k haha nothing mwah",0
"133","what do u guys prefer jonas brothers or justin bieber","ahhh i love em both but i would go for justin bieber well because im older but i perfer them both",0
"134","what do you think about formspringme so far","its da shit fun stuff",0
"135","what do you think is your most attractive feature","my eyes they are light brown and beautidul in the sun thanks god oh and my hands and ass lol jkjk",0
"136","what do you think was the greatest invention in your lifetime","thee comp or cellfonne hehe",0
"137","what kind of glasses do you have","guess haha no its the brand name",0
"138","what kind of music can you just not stand to listen to","i cannot listen to that heavy metal i like me some rockoldies bhut not that scary shit d",0
"139","what music are you listening to today","everything really ahhaha lovin my hiphop atm ester dean is thee shyyttt",0
"140","what one thing are you exceptionally good at","urgh   this is difficult to answer haha umm prob fixing computers ha yes i said it im like a wiz at fixin comps that myself and mom destroy ahaha",0
"141","what tv show do you wish would go off the air for good","the hills chuz lauren was thee whole point it was clld thee hills and there is much drama bhut i still wtch it chuz i love  laugh at thee dumb shit spencer is a prick btw",0
"142","what was the best concert you went to","jonas brothers concert  d i still love em bhut justin bieber is thee shit",0
"143","what was the happiest moment in your life","i have many many actually bhut i guess when i found my lifetime friends d",0
"144","what was the last book you read","the miracle worker",0
"145","what was the worst advice youve ever received","this person actually told me this quotfriedquot i had was not a true friend and she wants me  still be this persons friend thats a nono",0
"146","what was the worst concert you went to","never been   tht was bad",0
"147","what was the worst job youve ever had","i cant complain chuz i dnt have or had one hahaha soon though real soon ",0
"148","what was the worst place youve traveled to","georgia columbus  b exact i dislike it boring hotlanta is where its at ",0
"149","what was your favorite birthday gift","life haha umm idk thats hard",0
"150","what was your favorite toy to play with as a child","now how the fuck am i suppose to remember that weirdo maybe it was ur moms dick lol",1
"151","what was your favorite year"," haha when i was bornwas my year dohi didnt have  do anything on my own haha",0
"152","what was your worst travel experience","ha goin to georgia just to see my dads mother ugh i cnt stand her bhut god bless her soul long life story haha",0
"153","what website do you spend the most time on","oh good   twitter ofcousre i love me some twitter peeps they tha shit lol",0
"154","what would be the best workplace perk","idk wait whaaaa lol",0
"155","what would your perfect day look like","meampgod eatin chicken wings on his throne  ahaha",0
"156","whats one food youll never eat again","brussel srouts yuckie bhut i love cabbage and theyre mini cabbages lmao",0
"157","whats one thing you own that you should probably throw away  but never will","my old school shit   i wud sooo throw it away bhut my mom urgh",0
"158","whats the best gift youve ever given","the important  is love  bhut ive given people themselves like i let my friends have themselves instead of me it helps to see who they are as a person very important viseversa",0
"159","whats the best place near you to get a drink","hahaha wait wht kind of drink lol well jackinthebox is like not evn a mile away frmh my house so there i guess thts wht ur askin lmao xp",0
"160","whats the best place near you to get some ice cream","hmmmu makin me hungry first of all ampamp dairy queen yumm",0
"161","whats the best place near you to get some ice cream","ummdiary queen or jackinthebox  my smoothies of course not ice cream mwah",0
"162","whats the furthest youve ever traveled","virginia",0
"163","whats the longest youve ever gone without a bath or shower","haha maybe days lol idk",0
"164","whats the most delicious meal youve ever had","wow this is a hard  i dnt think ive had  or i have many i love my smoothies tho yummie",0
"165","whats the origin of your name","idk its a month that  sure lol",0
"166","whats the weirdest thing youve ever eaten","a piece of grass",0
"167","whats the weirdest thing youve ever eaten","i havent gotten  that part haha",0
"168","whats your best achievement","wow awesome questioni think my best achievement would be quotfinding who i amquot thats thee most important",0
"169","whats your biggest phobia","ummmmmessy rooms",0
"170","whats your dream car","something cute and me haha you kno well a beamer is my dream car basically or a porshe",0
"171","whats your earliest memory","haha staring at my doctor thru sunglasses while he was in my mouth hahaha",0
"172","whats your fave song","my fav song girly is umm up amp running by jessicajarrell atm but i have lots  hbu",0
"173","whats your favorite drink","mmm root beer haha my fav drink eva pow",0
"174","whats your favorite food","actually its cabbaged",0
"175","whats your favorite genre of music","pop",0
"176","whats your favorite movie quote","crap this is hard  haha umm quotpeople need inspirationquot the last song ",0
"177","whats your favorite type of flower","pink roses",0
"178","whats your favourite colour","pink amp neon green",0
"179","whats your favourite movie"," umm a walk to remember or the last song ugh theirs alot haha hbu",0
"180","whats yur fav color","pinkampneon greenyeahh buddie",0
"181","whats ur fav tv showww d ","umm   good question i have many bhut i guess  and pregnant would be  of my fav ones atm d",0
"182","when ever you go to google translate  dont use it trust me","hahaha wht are u tlkn bout girl",0
"183","when was the last time you gave flowers","never",0
"184","when you were a kid  what did you want to be when you grew up","actually i was that kid who wanted to be by herself so i guess when i grow up im going to be me lol hard question  answer",0
"185","where are ya from","usa known as mars",0
"186","where would you like to spend your retirement","hahawhen i turn  ish ask me this lol",0
"187","where would you most like to live","los angeles ",0
"188","wheres your ideal holiday destination","umm dallas texas haha idk im so plain so idk mwhaha",0
"189","who and when was your first kiss","umm long time ago bhut i was like  or  haha cory",0
"190","who are your top three celebrity crushes","yumm justin bieber pdiddys son jdoir yummmhaha not really a celeb bhut yeah ampamp channing fckn tatumhaha oh damn",0
"191","who are your twitter besties","ohh mann this is a great  chrissy michelle savannah aj bianca and lotss more  you",0
"192","who decided to take a shit on your face","im not quite sure ill tell ya when i find out i promise",1
"193","who do you think should be the next president of the united states","umm barack obama  another  years ilovehim",0
"194","who was the best teacher youve ever had","mmmh my second grade teach mrs caldwell ",0
"195","whos the funniest person you know","prob me or my seester robbie hahaha makes me wanna shit myself everytime she speaks lol",0
"196","whos the most famous person youve met","urgh no yet keep hopin though",0
"197","whos the most overrated athlete","michael jackson haha wait wrong one  michael jordon i meant ahah",0
"198","whos the prettiest person you know","idkk mwauuuhhh",0
"199","whos the sexiest woman alive","i do not judge gyrls im not bi or a lezzboo k thanks",0
"200","whos the smartest person you know","justinbsource  sure lmao",0
"201","why do u follow the bandwagon formspring twitter whats next gay justin beiber","well im not following anything and really bandwagon soo oldd its more like trend these days justin bieber idiot cnt spell",1
"202","why do u like lil kids like justin beiber","umm he has a bigga heart than you will ever have so before you start to hate on a yr old that you obviously are addicted to  get your facts straight kay",0
"203","why do u like that beiber kid so much hes lame and cant sing","umm u kno wht wtf ever stop hatin",0
"204","woaahhhhhh likee dude im in youhr backround d awesomeeee  ilybbyy"," marryyyyy lol itss yuhh boo hahaha noo durr suckkaaa nahhh i loveee yuhhhh moooee",0
"205","would u ever go bungee jumping like justin did","hahaha i think i would i always do thee same shizz all thee tyme so yes i would hbu  d",0
"206","would you rather be a famous musician or a famous actor","not a guy haha maybe a cheerleader haha jkjk",0
"207","would you rather be a vampire or a werewolf","werewolf aka  jacobs pride lol his good part lol",0
"208","would you rather be a zombie or a mummy","zombie sho",0
"209","would you rather be rich or famous","famous bhut im me  rite now",0
"210","would you rather date a lot of different people  or be in a committed relationship","both lol jk",0
"211","would you rather get up early or sleep late","sleep lateduh",0
"212","would you rather own a luxury yacht or a private jet","jet hate boats worst experience ever was on a boat never again",0
"213","would you rather swim in a pool or the ocean","pool",0
"214","would you rather work at a large company or a small one","none haha",0
"215","yea its different from warm cali  buts cool d weeeell gtg now  gonna meet some friends i a few minutes lolbye  xx","ohh man i bet its tha shit ohhkayy be safe have fun ",0
"216","yeh you r right how should the  be i have no bf too","yehh hahahaidkits weirdboys r boys so im mealone hahah",0
"217","yooooo mate   rinnalovesjb here heyhey  ask me anything  ","hahaha ight",0
"218","you need or should delete that  tweet not funny at all you know how many people died that day including my father and brother","ummim truly sorry bhut i didnt mean it in anyway like u obviously got offended byand i said it wasnt funny so before you get all angry nd shit ill delete that tweet kthanks btw rip ur daddy and brother",0
"219","your attitude is so fun ","thank yuh soo muchhd im likin yurs  mwah",0
"220","d nada","ummm what u didnt know jose was my first kiss",0
"221","o lol no freaking way btw  i didnt ask that d","no freaking way what",0
"222","ahhh true true plus it plays music xd","exactly",0
"223","if you had to give up one favorite food  what would the most difficult","ahh probably cookies d",0
"224","pshhh liar ","haha im not a liar",0
"225","what did you eat for breakfast today","cereal",0
"226","what do you think is your most attractive feature","ewwiee nothing haha",0
"227","what is one thing you cant live without  its me right","hahaha of c",0
"228","what is your biggest accomplishment","ummm probably playing softball for  years",0
"229","what was your favorite birthday gift","a neckalce given to me by my love ",0
"230","whats the best place near you to get a drink","starbuckks",0
"231","whats your favourite part to watch in rent","hmmmm think the part where te guy at support sings tht part makes me tear up la ve boheme is a good one two",0
"232","whered you find out about formspringme","umm bunch of people just joined  and i got bored  so i wanted too",0
"233","who was ur first kiss","umm haha i dont know why you want to kn",0
"234","why u so perfect ","hahaha im the farthest from",0
"235","are you wearing the pbr","im not wearing",0
"236","do you have a boyfriendbr","yess ",0
"237","can you come to my party tonightt ","who iss thiiis ",0
"238","damn i hate shiiiit talkers on formspringgg i thought it was just a random question site thing","ahaha thankss kidd ndd yeah i knoo reallyy huhtheeree soo stupidd there to scaredd to sayy anythingg too myy face",0
"239","i heart youu","ahahah ii loveeee yuuuu moreee",0
"240","i lovee joiee","ii lovee yuuu moreep",0
"241","i wub you joie"," ahaha hii ceara",0
"242","is jon the person u like","noo itss nottt",0
"243","joie is beautifulllll ","aww thankss yuu aree to",0
"244","joiieeeee i lalalovee youu  ","ahaha",0
"245","lmao quotyurr reall funny skinny ass bitchhquot hm that isnt really much of an insult now is it what if i was fat lol u suck at talkn shit  later white trash skank  ur super ugly nd that guy u like really isnt gonna come back around for u laterrrr","ahhaha yuurr funnyy reall funny ndd i dntt want hatt guy too comee bckk too mee anyyy moreendd yeahh i suck at tlking shiti jstt dntt tlk shitt over thiss i wouldd tlk itt to yuurr face iff i knew whoo thiss wassbitch gett a life ndd stopp worrying aboutt mines",1
"246","lol how cute u have friends that back u up  doesnt matter ur still a fake bitch  go find a real bf not someone out of ur league lol ugly ass","wow yeahh im a fake bitch yuur thee onee thatss scaredd to sayy all thiiss shitt in myy facebitchhscard too gett fuckedd uuppp yurr reall funny skinny ass bitchh",1
"247","piratees or ninjas ahah","pirateesss ",0
"248","really travis","watt yuu meann",0
"249","shit talkin bitch","wow reallyy whyy aree yuu tlking all thiis shitt over thiiss formsprings ndd nott inn myy facee whooss thee pussy",1
"250","still a bitch ","oh wow okay butt yuurr thee onee thattss tlking shitttcuzz idntt evnn knoo whooo thiisss iss",1
"251","suck it","ahaha all readyy h",1
"252","uhm i think i love me some freaking joie thasss right   d","ahahah ndd ii lovee mee alott off myy lil floricell ",0
"253","what do you think is your most attractive feature","uhmmm ",0
"254","whats your favorite drink","lemenadeee",0
"255","who do you like","ummmahhh hottt seniorrr",0
"256","who is ur lover","welll forr righhtt noww no onee iss",0
"257","whos the most talented person you know","uhm ",0
"258","why do u try so damn hard to fit in just be  your fucking self if you know how","ahahah funny",1
"259","whyy aree youu suchh aa faggottt","ahahaha i noo",1
"260","you a sexxyy mommma ","ahaha thanks",0
"261","your such a slut vvv","umm okkkayy thankss",1
"262","your ugly","oohhh well thanksss yuuur soo",1
"263"," i love you  youre so beautiful  i wanna be your boyfriend too","sure you do liar",0
"264","quoti have one for your informationquot wtf thats my life  not yours you best think twice before you try to steal my stuff  bitch","bitch who the fuck said i was stealiing your stuff dumb fuck",1
"265","quotshow your face anonymousquot wtf you make no sense you fake ugly bitch","i never said i did",1
"266"," stop hating on my page  kthx","why would i wanna hate on you",1
"267",""," ",0
"268","girlscan you belly dancer guyscan you break dance","haha no",0
"269","are you all you can say lmfaoo well  your fake everyone knows it  no need to go on about it sayoonarra","i can say more  im not fake",1
"270","","d",0
"271"," im sorry  im not the one being a fake of some lady lol comeon now  be your damn self  and im not fucking mental  i know what js means i think you need to stfu and get a damn life instead of beng on here and faking some girl  btw nice comeback","i didnt say you were mental i put that because some people dont what means duh your comebacks suck too",1
"272"," you are fake though d  that makes no sense lolol why would you keep faking all these formsprings  your stuuupid p we all know the real ashlee girls formspring already  soo fuck off may you","bitch i aint fake she is",1
"273"," wow ashleeee your fakes amuse me lmao  okay  you are retarded to keep this page upp ","your retarded",1
"274"," im very sexy  my fucking ass duuude that made me laugh so fucking hardd thanks for making my day d","your welcome faggot",1
"275","r youre at the perfect age to learn how to suck dick and give hand jobs","sicko",1
"276","    you should call me","okay",0
"277","ahaha my mom is dead  but thanks ugly ass bitch that no body knows and has no life and has to talk shit on formspring to pretty girls that she is jelouse of  alright bitch","you aint pretty pshh dont make me laugh",1
"278","and you called me fat why","i dont know im sorry",1
"279","are you fake","no are you",1
"280","are you famous or something i havent heard of you x","nopee",1
"281","are you fat","nope",0
"282","are you good at hangman i suck at it ","no",0
"283","are you mental she made a proof video you cant lie","are you",0
"284","are you ready to start school i am ","yea ",0
"285","are you single","yea",0
"286","ashlee cyrus florida  hey im ashlee im tired of everyone commenting on my damn formspring talking shit","okay",0
"287","ashlee cyrusr cyrus is a lame last namer everyone knows if your a cyrus  you gotta be fake  and youre probably reall ugly in real lifer lmfao","duh of course cyrus isnt my real last name its my fake last name",1
"288","ashleeive had the biggest crush on you for awhile  i dont go on here a lot  but please message me on wwwfindersinglecom under the username quotwishfulthinkerquot  please dont get all weird  ","no no",0
"289","ask me anythinclude your user info   ing","who are u",0
"290","baha  actually  im going to go on now  bitch are you fucking stupid  the real ashlee has a proof video  your dumb  your probably just some old man behind a computer screen go fuck yourself","nope",1
"291","basicc information   name  age  location  grade ","ashlee  florida th",0
"292","best lil wayne song","umm idk",0
"293","best thing that happened to you this summer ","nothing really",0
"294","betty is like adorable you look like a crack heads shit in a toilet my dear","that doesnt even make sense",1
"295","bitch stfu at least i recognize myself not lyk u","should i care bitch",1
"296","bob","pepe",0
"297","but your fake","im not fake ",1
"298","call me tomorrow at  am","ok",0
"299","chick are you a fucking lesbain","no are you",1
"300","chicken or hamburgers","chicken ",0
"301","cuter","me",0
"302","cyrus","stalker",0
"303","do i even know you  and why the fuck are you leaving shit on my wall seriouslyget a life","cuz i felt like it  i have one",1
"304","do i know you","do i know you",0
"305","do words really hurt you","no",0
"306","do you curse","yea",0
"307","do you hate when people give short boring answers to your questions","yea all the time",0
"308","do you know anyone who will do almost  anything for attention  ","yea my sister",0
"309","do you like adtf","yea",0
"310","do you like bodtf","yea ",0
"311","do you like nevershoutnever","kinda",0
"312","do you like to clean","yea i dont like it when its dirty",1
"313","do you like your name","yea ",0
"314","do you love twilight as much as this i bet this will be your new homepage httpmytwilightsearchcom","ew i hate twilight",0
"315","do you miss your hometown","lol no",0
"316","do you think you could make it in the woods with just camping supplys for a week no cellphone","hell no",0
"317","does it bother you when strangers try to tell you what to do","yea ",0
"318","does it make you mad you have tonsssss of hate groups on myspace","i dont care anymore",1
"319","does your bedroom door have a lock on it","no",0
"320","dont call her a bitch vv","just did",1
"321","dont you hate how people make fake celerbity pages ","yea that is sooo annoying",0
"322","dont you hate it when people are only dating for about  days and they put quoti love the persons namequot on there statuses and stuff i do ","i hate that so much",0
"323","dude  are you serious your so stupidddd  stfu and btw  if your tired of people talking shit on your form spring  delete this accountt  and be yourself  are you that bad","not as stupid as you jsjust saying",1
"324","dude  ewwwwr go home roger","back at you",1
"325","dude it seems like everyone hates you you should just delete all your socialing sites ","should i care",1
"326","dude shes faking herself  no one else in the world would fake her","no im not",1
"327","ever been in a gang o","no",0
"328","ever dyed your hair if so how many times","never",0
"329","everyone look  this girl was using missy lockes pictures and i told her she was fake  then she was like im not fake  then she took bettys pictures shes dumb httpwwwformspringmelmt","k",1
"330","ew youre gross ugly bitch","not as gross as you bitch",1
"331","ewwwwwwww","okay i know im ew",0
"332","faaaaake d","i am not fake",1
"333","fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake","your fake",1
"334","fake","im not fake",1
"335","fake","your fake",1
"336","faveee timee  sport ","volleyball",0
"337","favorite band","hm i dont have one",0
"338","favorite color","purple  ",0
"339","favorite song","hmm probably alejandro by lady gaga",0
"340","favorite song","i already answered that",0
"341","favve song ","alejandro by lady gaga",0
"342","get a life you twisted bitch","you get a life",1
"343","get naked","ew no",1
"344","girls  dohave you cheered guys  dohave you played football ","nope",0
"345","girls have you ever faught over a guy what happened guys has a girl ever faugh over you what happened ","nooo",0
"346","go to hell xd","you go to hell ugly wannabe scene chick",1
"347","grosss your face is nasty","so is yours",1
"348","grosss your face is nasty","so is yours you dont see me complaining",1
"349","guess what you should do get a life i dont even know you so why would you even start shit with me seriously  you must be a bit messed up in the head pathetic","i have one for your information nope i aint messed up",1
"350","guys what do you hate most about girls  girls what do you hate most about guys","they can be annoying",0
"351","haha lifeless cunt stop writing on my wall you shit faced slut","yo mamma",1
"352","have you ever been to georgia ","no but i wanna go their",0
"353","have you ever hated that you loved someone ","not really",0
